Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
893996,barcelona,Apartment,From 29 April,3040,bills included,3-bedroom apartment for rent in Sant Gervasi Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/893996,Sant Gervasi
480286,barcelona,Room,From 3 July,699,instant booking,Rooms for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/480286,Barcelona
1091471,barcelona,Room,From 2 March,630,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091471,Ciutat Vella Vella
1091473,barcelona,Room,From 2 March,590,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091473,Ciutat Vella Vella
573720,barcelona,Room,From 1 July,580,bills included,Rooms for rent in 25-bedroom house in Bellaterra Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/573720,Bellaterra
609722,barcelona,Room,From 7 March,450,some bills included,Rooms for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/609722,Barcelona
466285,barcelona,Room,From 18 June,699,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/466285,Barcelona
1202436,barcelona,Apartment,From 2 March,990,spotahome plus,Whole 2 bedrooms apartment in Badalona,https://www.spotahome.com/barcelona/for-rent:apartments/1202436,Badalona
621259,barcelona,Apartment,From 3 May,1495,some bills included,Centrally located temporary rental apartment in Born neighborhood,https://www.spotahome.com/barcelona/for-rent:apartments/621259,Born
1216839,barcelona,Room,From 2 March,950,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216839,Barcelona
597642,barcelona,Apartment,From 2 March,1620,bills included,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/597642,Barcelona
1216837,barcelona,Room,From 2 March,1100,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216837,Barcelona
372175,barcelona,Room,From 2 March,400-515,instant booking,Sunny room in 5-bedrooom apartment Hospitalet de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/372175,Hospitalet de Llobregat
1067314,barcelona,Studio,From 3 May,1250,bills included,Studio apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1067314,Barcelona
1090764,barcelona,Room,From 5 March,500-550,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090764,Barcelona
971709,barcelona,Room,From 2 March,500,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/971709,Barcelona
440497,barcelona,Room,From 2 March,550,bills included,Rooms for rent in a 3 bedroom apartment in Barcelona.,https://www.spotahome.com/barcelona/for-rent:rooms/440497,Barcelona
994790,barcelona,Room,From 2 March,425-535,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/994790,Barcelona
138621,barcelona,Room,From 4 March,585,instant booking,Cosy room to rent in shared apartment in Poblenou Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/138621,Poblenou
768727,barcelona,Room,From 1 July,575,instant booking,Room for rent in 6-bedroom apartment in Sants Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/768727,Sants
206778,barcelona,Room,From 2 March,465,instant booking,Furnished room 7-bedroom apartment Horta-Guinardó Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/206778,Horta-Guinardó
