Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
1089739,barcelona,Room,From 31 July,560,instant booking,Room for rent in shared 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1089739,Barcelona
382717,barcelona,Room,From 17 June,600,bills included,Inviting room for rent 5-bedroom apartment LEixample,https://www.spotahome.com/barcelona/for-rent:rooms/382717,Barcelona
1069837,barcelona,Room,From 2 June,1130-1390,some bills included,Room for rent in 10-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1069837,Barcelona
760128,barcelona,Room,From 2 July,595-793,bills included,Rooms for rent in a 3-Bedroom apartment in Barcelona!,https://www.spotahome.com/barcelona/for-rent:rooms/760128,Barcelona
978188,barcelona,Room,From 6 July,595,instant booking,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/978188,Barcelona
962130,barcelona,Room,From 30 April,790,instant booking,Room for rent in 4-bedroom apartment in Can Baró Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/962130,Can Baró
925035,barcelona,Room,From 1 August,535,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/925035,Barcelona
760696,barcelona,Apartment,From 3 July,1800,no deposit,2-bedroom apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/760696,El Raval
1180131,barcelona,Apartment,From 7 April,4081-4686,no deposit,4-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1180131,Barcelona
123075,barcelona,Apartment,From 4 July,1250,some bills included,2-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/123075,Barcelona
126981,barcelona,Room,From 2 July,540-685,bills included,Room in shared apartment in Sarrià-Sant Gervasi Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/126981,Sarrià-Sant Gervasi
973198,barcelona,Room,From 31 May,525,instant booking,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/973198,Barcelona
146468,barcelona,Room,From 2 July,600-765,bills included,Comfy room in 9-bedroom apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/146468,El Born
94109,barcelona,Room,From 2 July,600-800,bills included,Decorated room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/94109,El Born
599461,barcelona,Room,From 2 July,550,some bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/599461,Barcelona
726619,barcelona,Room,From 1 July,950,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/726619,Barcelona
146449,barcelona,Room,From 2 July,602-803,bills included,Big room in 7-bedroom apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/146449,El Born
201525,barcelona,Room,From 30 June,890,instant booking,Rooms for rent in 6-bedroom apartment Eixample Dreta,https://www.spotahome.com/barcelona/for-rent:rooms/201525,Eixample Dreta
240692,barcelona,Room,From 2 July,480,bills included,Room for rent in comfortable 3-bedroom flat in Les Corts,https://www.spotahome.com/barcelona/for-rent:rooms/240692,Les Corts
952434,barcelona,Room,From 4 July,850,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952434,Barcelona
952842,barcelona,Room,From 4 July,789,bills included,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952842,Barcelona
952913,barcelona,Room,From 4 July,789,bills included,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952913,Barcelona
754274,barcelona,Apartment,From 25 June,1895,some bills included,2 bedroom apartment for rent in Barcelona.,https://www.spotahome.com/barcelona/for-rent:apartments/754274,Barcelona
202670,barcelona,Room,From 2 May,743-991,bills included,Modern room in 5-bedroom apartment Eixample Dreta Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/202670,Eixample Dreta
236043,barcelona,Room,From 26 May,772,bills included,Bright room in 5-bedroom apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/236043,Gràcia
973265,barcelona,Room,From 30 June,495,instant booking,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/973265,Barcelona
810028,barcelona,Apartment,From 20 April,3603-4026,no deposit,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/810028,Barcelona
135627,barcelona,Room,From 2 July,650,some bills included,Bright room in 8-bedroom apartment by Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/135627,Eixample
86482,barcelona,Room,From 30 June,550,bills included,Light room in 4-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/86482,Eixample
329735,barcelona,Room,From 2 July,550,some bills included,Cozy room for rent in Putxet Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/329735,Barcelona
744241,barcelona,Room,From 1 July,770,bills included,Rooms for women for rent in 5-bedroom apartment in La Sagrad,https://www.spotahome.com/barcelona/for-rent:rooms/744241,La
146453,barcelona,Room,From 2 June,687-916,bills included,Luminous room in 7-bedroom apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/146453,El Born
100313,barcelona,Room,From 1 July,600,bills included,Spacious room in shared apartment in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/100313,El Born
423229,barcelona,Apartment,From 2 July,1400,bills included,Whole 1 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/423229,Barcelona
641720,barcelona,Apartment,From 26 April,3300-3905,no deposit,Whole 2 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/641720,Barcelona
205374,barcelona,Room,From 6 July,670,bills included,Sunny room in 9-bedroom apartment in Sants-Badal Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/205374,Sants-Badal
205373,barcelona,Room,From 6 July,670,bills included,Room in 9-bedroom apartment in Sants-Badal Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/205373,Sants-Badal
205375,barcelona,Room,From 6 July,670,bills included,Cozy room in 9-bedroom apartment in Sants-Badal Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/205375,Sants-Badal
