Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link
372796,barcelona,Room,From 5 March,732,some bills included,"Single room, 9-bedroom apartment, L'Esquerra de l'Eixample",https://www.spotahome.com/barcelona/for-rent:rooms/372796
372798,barcelona,Room,From 5 March,732,some bills included,"Single room, 9-bedroom apartment, L'Esquerra de l'Eixample",https://www.spotahome.com/barcelona/for-rent:rooms/372798
378703,barcelona,Studio,From 6 March,799,instant booking,Studio apartment for rent in L'Hospitalet de Llobregat,https://www.spotahome.com/barcelona/for-rent:studios/378703
1199280,barcelona,Room,From 5 March,734,bills included,Furnished Bedroom in Barcelona - Bedroom number 7,https://www.spotahome.com/barcelona/for-rent:rooms/1199280
952761,barcelona,Room,From 5 March,789,bills included,Room for rent in 8-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952761
842930,barcelona,Room,From 3 March,640,some bills included,"Large room for rent in Poble Sec district, Barcelona!",https://www.spotahome.com/barcelona/for-rent:rooms/842930
1021950,barcelona,Room,From 7 April,840,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1021950
364194,barcelona,Room,From 18 April,629,instant booking,"Room for rent in 3-bedroom apartment in Sants, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/364194
1074898,barcelona,Studio,From 2 March,1300-2000,some bills included,"Studio apartment for rent in Sants, Barcelona",https://www.spotahome.com/barcelona/for-rent:studios/1074898
929887,barcelona,Room,From 3 March,828,bills included,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/929887
102166,barcelona,Apartment,From 7 March,1300-2400,long term,"1-bedroom apartment for rent in El Raval, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/102166
962439,barcelona,Room,From 2 March,750,bills included,"Large room in shared apartment in Barri Gòtic, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/962439
992684,barcelona,Apartment,From 6 April,1200-3000,bills included,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/992684
1088852,barcelona,Room,From 2 March,600,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1088852
1013703,barcelona,Room,From 7 March,665,some bills included,"Room for rent in 6-bedroom apartment in Gràcia, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/1013703
119716,barcelona,Room,From 2 March,850,bills included,"Rooms in 5-bedroom apartment in Abando and Indautxu, Bilbao",https://www.spotahome.com/barcelona/for-rent:rooms/119716
119715,barcelona,Room,From 2 March,850,bills included,"Rooms for rent in shared apartment - Barri Gotic, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/119715
726579,barcelona,Apartment,From 13 March,1190,some bills included,Comfortable furnished and equipped apartment close to the Turó del Putxet gardens,https://www.spotahome.com/barcelona/for-rent:apartments/726579
144105,barcelona,Apartment,From 2 April,1400,some bills included,"Charming 2-bedroom apartment for rent in Gotico, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/144105
1085722,barcelona,Room,From 7 March,465,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1085722
305089,barcelona,Room,From 1 April,555,bills included,"Lovely room to rent in 6-bed apartment, Sarrià-Sant Gervasi",https://www.spotahome.com/barcelona/for-rent:rooms/305089
1217892,barcelona,Room,From 7 March,500,some bills included,Room in shared apartment in Sant Adrià de Besòs,https://www.spotahome.com/barcelona/for-rent:rooms/1217892
1217891,barcelona,Room,From 7 March,500,some bills included,Room in shared apartment in Sant Adrià de Besòs,https://www.spotahome.com/barcelona/for-rent:rooms/1217891
1088850,barcelona,Room,From 31 March,600,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1088850
633184,barcelona,Room,From 3 March,670,some bills included,Rooms for rent in a 7-Bedrooms apartment in Gràcia Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/633184
1200496,barcelona,Room,From 16 March,650,bills included,Room in shared apartment in La Floresta,https://www.spotahome.com/barcelona/for-rent:rooms/1200496
118634,barcelona,Room,From 2 March,850,bills included,"Ideal room in shared apartment by Eixample, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/118634
403080,barcelona,Room,From 2 March,850,some bills included,Room for rent 3-bedroom apartment L'Esquerra de l'Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/403080
