Reference Number;Bedrooms;Bathrooms;Area
373988;14;3;320
927701;4;No info;No info
1003975;7;2;No info
305079;4;1;50
90446;8;2;244
768724;6;1;No info
378361;1;25;No info
312103;1;20;No info
426453;5;2;180
997371;2;1;No info
378705;1;25;No info
131360;1;1;30
1083078;5;4;120
875714;4;No info;No info
122982;8;2;189
760699;1;2;No info
952742;9;136;No info
952412;5;94;No info
1202212;2;1;No info
1021922;3;No info;No info
774336;3;1;62
1084913;2;1;110
973066;6;2;No info
329154;2;1;45
408303;4;1;190
118242;3;1;85
118246;3;1;85
994794;7;No info;No info
928823;7;3;200
928826;7;3;200
782394;12;1;588
782395;12;1;588
1069161;3;1;No info
321838;9;4;150
625347;3;1;82
513369;9;4;200
513365;9;4;200
513368;9;4;200
513366;9;4;200
321837;9;4;150
133313;8;4;200
118258;18;5;460
625343;3;1;82
321843;9;4;150
118255;18;5;460
625331;3;1;82
362683;4;2;95
118259;18;5;460
118257;18;5;460
1190804;5;2;142
832018;1;14;No info
832354;1;14;No info
832542;No info;No info;No info
947707;10;4;No info
602413;8;3;170
372796;8;2;150
372798;8;2;150
378703;1;15;No info
1199280;8;No info;No info
952761;8;126;No info
842930;4;1;No info
1021950;4;2;80
364194;3;1;60
1074898;1;25;No info
929887;7;2;No info
102166;1;1;45
962439;6;1;210
992684;2;1;59
1088852;7;2;150
1013703;6;No info;No info
119716;4;2;135
119715;4;2;135
726579;1;1;No info
144105;2;1;58
1085722;4;1;90
305089;6;3;120
1217892;3;1;80
1217891;3;1;80
1088850;7;2;150
633184;7;No info;No info
1200496;2;1;100
118634;18;5;460
403080;3;2;80
973057;6;2;No info
443871;4;1;90
916022;1;40;No info
237277;12;3;400
1022797;4;1;No info
982350;1;No info;No info
1069717;4;No info;No info
942435;1;1;No info
707195;3;1;60
1089780;3;1;65
450707;4;2;110
372810;13;2;280
963794;2;1;No info
1185485;6;2;95
592524;4;No info;No info
1050435;3;No info;No info
1050434;3;No info;No info
607360;18;5;460
633180;7;No info;No info
875708;4;No info;No info
113982;3;1;100
372777;14;3;320
272558;3;No info;No info
762495;5;2;No info
366911;4;1;140
989023;2;1;40
977835;8;4;160
1091444;6;2;130
1204534;3;1;70
927066;6;2;150
928824;7;3;200
1016298;8;3;192
426451;5;2;180
927516;3;1;110
1078793;1;25;No info
357030;1;1;60
577482;4;2;82
1214638;1;1;90
964400;4;1;No info
94933;4;1;80
1185487;6;2;95
952804;8;133;No info
952847;8;133;No info
984434;3;1;No info
337401;No info;No info;No info
966575;7;3;150
380297;19;6;320
935681;5;1;77
994793;7;No info;No info
1013046;5;No info;No info
948888;2;1;No info
948889;2;1;No info
929443;4;1;No info
634377;4;2;85
