Reference Number;Bedrooms;Bathrooms;Area
1183218;2;1;45
314242;5;2;120
952822;6;130;No info
952914;8;127;No info
1004687;3;1;110
592494;3;No info;No info
128952;2;1;60
141607;2;1;50
972598;7;2;No info
372785;10;6;120
1085559;7;2;120
961145;1;35;No info
130600;6;2;170
952414;5;94;No info
620694;2;1;No info
994857;11;No info;No info
979914;1;1;67
1003019;3;1;60
1166697;4;1;89
120984;7;2;132
302698;7;4;195
1187889;4;1;70
925031;10;3;210
153489;2;2;200
1076256;5;1;No info
877418;7;1;No info
153519;5;1;105
1196215;2;No info;No info
952800;8;133;No info
952736;9;136;No info
952799;8;133;No info
922513;2;2;105
952841;8;133;No info
952840;8;133;No info
350887;5;2;90
1084129;3;2;102
801025;7;3;No info
1080815;3;1;60
651713;1;No info;No info
935499;5;2;96
929410;4;2;No info
969037;5;2;No info
386598;4;2;100
350888;5;2;90
942091;3;1;No info
1017874;2;1;80
157088;2;1;No info
332578;2;2;100
118632;18;5;460
133310;8;4;200
1090917;5;2;No info
242034;1;No info;No info
340363;5;2;160
1078571;4;1;70
1205498;1;1;45
953190;1;60;No info
952850;7;116;No info
952849;7;116;No info
218314;10;2;200
116058;2;1;43
289897;2;No info;No info
154964;6;2;No info
576867;3;2;71
461975;1;1;55
1196221;2;No info;No info
937277;2;50;No info
988751;1;50;No info
932399;2;1;No info
579945;2;2;No info
640436;1;1;80
222020;5;2;80
939003;2;1;62
888238;1;60;No info
153336;10;3;250
326475;7;1;133
1190965;2;2;100
747927;2;No info;No info
621276;2;1;No info
970044;8;4;No info
888176;1;50;No info
305517;1;No info;No info
1218364;3;2;90
994784;7;2;No info
1003974;7;2;No info
1004070;7;2;No info
954772;6;2;115
954687;3;1;No info
128151;8;2;175
592473;4;No info;No info
980646;2;2;84
773521;2;1;67
303669;3;2;85
458640;4;1;80
341529;3;2;100
118250;18;5;460
84900;5;2;140
952226;3;2;80
922282;4;1;102
272678;2;1;No info
153331;10;3;250
1085951;2;1;76
153882;7;2;150
153888;7;2;150
117038;4;1;75
601315;6;2;75
1082030;3;3;75
296416;5;3;150
988183;6;2;No info
1088143;2;2;85
988184;6;2;No info
272303;3;2;90
990139;5;2;No info
724421;2;1;60
1190172;4;1;No info
640991;4;1;100
132684;10;3;180
133576;10;3;180
970041;8;4;No info
996800;3;2;85
769876;14;4;380
218315;10;2;200
1163807;4;1;75
982684;1;45;No info
125647;1;1;60
972215;6;2;No info
355356;4;2;110
133127;2;1;50
733239;2;1;60
106726;1;35;No info
622043;2;2;No info
929037;2;2;100
122986;8;2;189
768485;6;3;196
154357;3;2;134
1091459;8;3;170
651147;3;2;125
888173;2;1;55
127990;6;4;160
667910;3;2;100
595968;1;55;No info
1196246;4;No info;No info
576866;3;2;71
952855;7;116;No info
206931;2;1;60
372793;8;2;150
927699;4;No info;No info
988775;2;1;90
1083918;3;1;80
1186223;1;45;No info
1216498;1;60;No info
1216492;1;60;No info
1000075;3;2;No info
359018;2;55;No info
1067898;1;38;No info
415652;4;1;85
592479;3;No info;No info
1174846;2;2;No info
265675;2;1;50
996653;2;1;No info
1006330;7;No info;No info
126978;8;2;180
1016321;2;2;144
597477;1;1;50
861717;2;1;80
1196245;4;No info;No info
90785;5;1;100
1091461;8;3;170
268632;1;1;55
110652;6;2;140
126691;3;1;65
409726;1;40;No info
1051891;5;2;No info
1051890;5;2;No info
1051889;5;2;No info
1051893;5;2;No info
295928;5;3;150
1096352;4;1;No info
954306;1;1;75
478726;3;1;75
281599;1;1;70
981793;4;1;No info
224786;5;2;140
1196262;4;No info;No info
787227;2;1;75
438966;3;1;70
1081198;2;1;57
151172;7;2;132
592492;3;No info;No info
931743;3;2;140
1089839;2;2;70
1021635;4;2;100
926700;3;1;150
606792;3;No info;No info
210914;4;2;85
952908;6;123;No info
1077567;4;2;120
1003585;3;2;325
1003592;3;2;162
952749;6;130;No info
977068;4;1;120
962801;2;1;No info
962803;2;1;No info
212839;6;2;165
141691;3;2;70
141689;3;2;70
141418;3;2;70
976975;3;2;100
141695;3;2;70
144681;4;2;100
938578;2;2;150
94729;1;1;47
918254;2;1;105
604156;3;2;75
973068;6;2;No info
801027;7;3;No info
641705;1;1;60
1017944;3;1;No info
102544;7;2;180
604155;3;2;75
929869;9;2;No info
1182697;1;No info;No info
375489;1;28;No info
577225;8;3;250
1181997;2;No info;No info
559800;2;2;75
1196263;4;No info;No info
392361;5;3;No info
977407;5;2;No info
811790;3;3;350
267742;6;160;No info
213406;5;1;105
206252;1;1;35
952737;9;136;No info
952741;9;136;No info
361581;1;1;40
927379;4;2;120
1088518;2;1;60
1182000;2;No info;No info
150315;2;1;55
458911;1;1;70
348917;5;2;No info
348918;5;2;No info
621016;1;1;No info
925030;10;3;210
821346;7;1;No info
982378;1;No info;No info
952861;6;130;No info
935094;2;1;40
1066124;3;No info;No info
293967;3;1;60
601292;6;2;75
447970;2;1;45
1181746;2;No info;No info
774277;2;1;No info
917851;6;2;No info
956468;4;1;No info
932579;8;4;270
400765;11;2;180
323626;6;2;100
601320;6;2;75
372178;5;2;80
1181964;2;No info;No info
1022262;5;4;500
1022468;4;2;500
432188;2;1;70
102546;7;2;180
592475;3;No info;No info
958147;3;2;90
386599;4;2;100
121065;2;1;80
125265;4;1;90
917037;3;1;70
142644;4;1;100
201991;2;1;60
1010373;5;2;114
1021920;3;No info;No info
975904;2;2;72
513370;9;4;200
915919;7;3;136
1088973;1;30;No info
127193;4;1;80
85509;2;1;45
1181971;2;No info;No info
1072107;2;1;70
952739;9;136;No info
952740;9;136;No info
146450;7;2;120
1218471;1;47;No info
148554;1;1;48
744307;1;1;30
279260;3;1;75
89757;5;2;140
952272;5;1;65
1017862;3;2;85
1087684;2;2;93
1083932;3;2;140
302292;1;No info;No info
372809;13;2;280
805187;3;1;65
982256;1;No info;No info
1181511;3;No info;No info
90040;6;2;170
906057;3;1;No info
1004029;5;1;120
258987;2;1;No info
754630;4;1;No info
1169107;2;1;70
1089742;6;2;120
983951;20;3;20
1050444;3;2;140
372807;13;2;280
236046;5;5;85
1205905;3;1;75
621964;1;1;No info
1169895;2;1;No info
957929;4;3;250
1088071;1;40;No info
520537;2;1;70
306124;1;25;No info
592518;3;No info;No info
666304;3;No info;No info
1182924;1;No info;No info
94571;4;1;80
323627;6;2;100
1091378;4;1;90
1181960;3;No info;No info
404380;2;2;No info
952870;10;191;No info
951920;2;1;No info
980704;3;2;100
592493;3;No info;No info
297488;2;2;80
441101;3;1;80
1070224;1;40;No info
1091197;3;2;90
102689;1;1;35
1091572;1;1;50
89758;5;2;140
941796;3;2;72
95337;9;2;230
128153;8;2;175
1190810;5;No info;No info
133684;2;1;55
1003596;9;6;812
656810;4;1;84
941805;3;2;104
1172425;3;2;62
937229;4;1;86
592526;3;No info;No info
1196233;2;No info;No info
628213;2;1;No info
275857;3;1;85
930728;1;35;No info
971675;5;2;140
651714;1;No info;No info
136576;5;4;195
1064371;6;No info;No info
988088;5;2;No info
592527;3;No info;No info
705962;1;1;55
85474;4;2;90
986284;4;1;75
620703;1;1;No info
967954;5;1;65
147091;3;1;75
641682;1;1;50
304504;1;1;40
1180422;1;No info;No info
270611;6;7;190
270610;6;7;190
1073973;2;2;No info
872608;6;2;190
639144;6;2;No info
123427;3;2;85
1199368;1;1;No info
267744;6;160;No info
952425;5;94;No info
84219;4;2;110
206256;1;1;35
112859;4;2;100
237153;3;2;110
140431;10;3;180
146455;7;2;120
1167526;No info;No info;No info
478815;2;1;45
994791;7;No info;No info
336687;4;1;70
255903;3;1;No info
1089829;3;2;115
426454;5;2;180
620720;2;2;No info
936743;5;No info;No info
117041;4;1;75
219455;5;2;No info
1190173;4;1;No info
262627;3;2;110
966442;4;3;200
953316;6;2;No info
608692;3;1;150
961494;5;3;No info
932574;8;4;270
1180416;1;No info;No info
466287;5;2;125
916483;6;2;169
935665;6;3;No info
153334;10;3;250
1183093;1;No info;No info
1203199;3;2;No info
764837;2;2;120
972207;3;1;No info
769604;2;2;70
89756;5;2;140
956418;5;1;90
1022795;4;1;No info
306305;5;3;115
228917;3;2;170
988178;7;2;No info
927714;5;No info;No info
988103;4;No info;No info
953315;6;2;No info
354862;1;50;No info
1172539;6;4;127
364192;3;1;60
623251;1;25;No info
229417;7;2;No info
928766;5;3;107
810096;1;1;60
86645;4;1;85
138816;6;2;180
137343;6;1;210
810246;2;1;80
611234;4;1;No info
601283;6;2;75
962853;7;No info;No info
956729;4;1;No info
396061;5;1;85
229409;7;2;122
272931;3;1;75
953095;2;1;80
281272;3;1;70
952738;9;136;No info
1088832;6;2;100
442900;4;2;100
270612;6;7;190
942589;5;No info;No info
1083929;2;2;100
668606;1;1;65
400761;11;2;180
102545;7;2;180
594777;1;1;50
892574;3;1;90
580202;1;1;No info
592528;3;No info;No info
956728;4;1;No info
956731;4;1;No info
144683;4;2;100
1196089;1;No info;No info
153330;10;3;250
133312;8;4;200
912990;3;1;75
564949;8;2;250
1064364;4;No info;No info
971678;5;2;140
972221;5;No info;No info
972217;5;No info;No info
931848;8;2;140
268495;1;1;35
255230;1;1;70
351618;4;1;75
166586;5;2;130
973250;5;No info;No info
265479;1;1;50
961096;2;1;No info
961099;2;1;No info
928769;5;3;107
323608;6;2;100
326476;7;1;133
947706;10;4;No info
806768;1;1;40
592517;3;No info;No info
998524;1;1;60
994855;11;No info;No info
810146;2;1;70
90441;8;2;244
952846;8;133;No info
120980;7;2;132
94106;8;3;140
1082553;1;15;No info
962848;7;No info;No info
201526;6;5;No info
777441;4;80;No info
938876;3;1;90
94105;8;3;140
237154;3;2;110
237288;2;1;42
941800;3;2;87
1169100;3;3;No info
139150;6;2;180
952801;8;133;No info
110496;4;1;100
364917;6;1;No info
915922;7;3;136
135625;8;3;200
123608;2;1;70
281509;3;2;No info
1003317;3;2;90
935470;5;1;96
935495;5;2;96
935193;4;2;117
939980;4;No info;No info
1009826;3;No info;No info
253254;1;43;No info
580448;2;1;No info
154500;10;1;200
929900;6;2;No info
102413;2;1;55
620641;1;1;No info
924837;2;2;110
389484;1;2;82
947709;10;4;No info
261590;3;1;80
153335;10;3;250
1085561;7;2;120
935675;5;1;No info
326499;4;1;150
337359;No info;No info;No info
987903;2;1;54
601317;6;2;75
129781;5;2;90
652414;1;1;58
129987;4;1;77
951344;2;1;97
1015334;2;1;No info
124800;2;1;60
622164;1;1;No info
952271;5;1;65
1211114;1;1;35
1000054;7;2;136
964474;5;1;70
935579;6;2;102
962927;1;1;No info
640618;2;1;50
894004;1;1;50
330404;9;2;200
767443;5;1;200
1181282;2;No info;No info
359851;5;2;80
1014870;8;3;280
810222;2;2;75
621324;1;1;No info
994861;11;No info;No info
205376;9;3;167
139575;4;1;80
151039;1;50;No info
592523;4;No info;No info
942591;5;No info;No info
986482;3;1;No info
127675;7;2;180
470735;2;1;90
768726;6;1;No info
949104;2;1;70
964472;5;1;70
215396;3;1;74
1021794;5;3;350
1022693;1;60;No info
956824;4;1;87
760127;3;1;150
433716;3;2;56
651715;1;No info;No info
966577;7;3;150
580870;2;1;No info
607911;5;2;150
372805;13;2;280
577219;8;3;250
154564;1;25;No info
237004;3;1;75
939981;4;No info;No info
1199279;8;No info;No info
151030;1;50;No info
985549;3;1;60
988090;5;2;No info
204963;7;1;No info
1083076;5;4;120
988100;4;No info;No info
148772;1;1;48
338510;4;1;100
624305;3;90;No info
560238;2;1;66
913767;3;1;78
977833;8;4;160
226612;2;1;45
1190062;5;1;No info
460052;3;1;100
1189262;3;3;No info
302699;7;4;195
139995;1;30;No info
596797;3;1;No info
364225;3;1;60
939142;4;2;No info
1089851;2;1;70
1069863;6;No info;No info
289707;7;2;160
222016;5;2;80
1072335;3;2;No info
937567;3;2;20
84899;5;2;140
229441;6;2;107
276745;3;1;60
112848;3;1;70
915644;3;1;70
120217;10;4;360
398738;3;1;65
331608;4;1;105
1076263;3;1;No info
155488;7;2;150
956467;4;1;No info
956415;5;1;90
945107;3;No info;No info
945109;3;No info;No info
346464;4;2;105
374283;10;6;120
955350;7;1;No info
1189869;5;2;90
89151;3;1;75
274825;2;1;85
115852;1;20;No info
1190194;1;55;No info
86483;4;2;110
312101;1;No info;No info
1007788;2;1;No info
621233;3;2;No info
201524;6;5;No info
138815;6;2;180
927188;7;3;190
994782;7;2;No info
988182;6;2;No info
982089;4;2;120
788851;3;1;67
895500;2;1;70
89754;5;2;140
727340;2;1;72
84222;4;2;110
323667;6;2;115
323665;6;2;115
323668;6;2;115
982885;2;1;No info
577224;8;3;250
1064376;4;1;No info
1219800;6;2;140
942593;5;No info;No info
1002309;3;2;No info
967800;4;1;70
936742;5;No info;No info
128150;8;2;175
744238;5;4;No info
1078572;4;1;70
929085;4;1;90
211479;3;1;70
129779;5;2;90
229419;7;2;No info
930593;4;2;90
973696;4;1;No info
1013057;8;No info;No info
622246;1;1;No info
1187891;1;1;55
609005;1;1;50
956944;3;2;No info
233813;2;1;45
206772;7;1;125
991353;1;40;No info
282046;4;1;85
115009;5;2;120
942243;2;1;No info
204962;7;1;No info
964475;5;1;70
154816;1;25;No info
129778;5;2;90
1186975;1;30;No info
115007;5;2;120
115008;5;2;120
607912;5;2;150
1196078;2;2;100
621702;1;1;No info
126687;4;1;80
1085560;7;2;120
935588;6;2;105
281273;3;1;70
973587;4;2;100
687891;1;1;75
1180122;No info;No info;No info
932954;5;2;100
956825;4;1;87
1021949;4;2;80
592498;3;No info;No info
1012785;2;1;65
962798;5;No info;No info
1219796;6;2;140
90237;11;2;200
289669;4;1;84
990137;5;2;No info
122901;2;1;80
580290;2;1;No info
1083003;8;2;No info
334047;5;1;85
268329;2;1;No info
952858;6;130;No info
952851;7;116;No info
952854;7;116;No info
972595;7;2;No info
301374;5;2;105
707607;4;No info;No info
1185298;3;3;No info
846159;4;2;120
988177;7;2;No info
1169018;1;30;No info
1182699;3;No info;No info
606363;1;40;No info
928091;3;1;65
380304;19;6;320
779784;4;1;75
951041;1;1;No info
90443;8;2;244
110494;4;1;100
453616;2;1;55
90039;6;2;170
1076261;3;1;No info
988185;6;2;No info
1181547;2;No info;No info
964554;6;1;97
474904;2;60;No info
1180158;2;No info;No info
313504;4;2;110
994803;7;No info;No info
1091458;8;3;170
1182725;2;No info;No info
147262;3;1;60
323607;6;2;100
977406;5;2;No info
154757;4;2;124
326653;4;5;350
264595;4;2;100
622384;1;1;No info
957168;2;2;96
1014872;8;3;280
962195;8;No info;No info
988107;10;5;No info
964476;5;1;70
754166;4;1;98
1017597;1;1;70
523140;8;2;200
1180325;3;No info;No info
1182984;2;No info;No info
1022270;3;1;80
952433;3;1;75
1198189;4;2;84
1069160;3;1;No info
607910;5;2;150
380299;19;6;320
476641;3;1;70
994807;7;No info;No info
1196230;2;No info;No info
1205363;2;No info;No info
1199392;4;3;150
1183002;2;No info;No info
366445;3;1;50
147187;1;20;No info
928787;4;2;100
642513;4;1;120
954980;4;1;90
935248;3;1;75
653893;4;1;120
1003045;5;3;220
915666;5;2;150
1088853;7;2;150
1025940;6;2;No info
233486;4;1;75
992182;5;1;No info
289701;7;2;160
1078573;4;1;70
988181;6;2;No info
136577;5;4;195
207440;10;2;150
207441;10;2;150
203539;10;2;150
778503;4;2;94
1083010;8;2;No info
267743;6;160;No info
441371;3;1;80
809971;2;2;170
788850;3;1;67
922878;7;3;No info
973263;6;2;No info
761065;2;1;65
942392;2;1;70
1181585;2;No info;No info
994802;7;No info;No info
523134;8;2;200
935472;5;1;96
935471;5;1;96
1014865;8;3;280
928980;2;No info;No info
144627;2;1;50
124941;3;1;60
1073234;4;2;100
953592;4;2;195
625306;3;1;No info
768489;6;3;196
401773;4;1;No info
994783;7;2;No info
359853;5;2;80
201670;4;1;72
956730;4;1;No info
565520;6;3;150
769870;14;4;380
305649;7;1;161
137561;1;1;27
374291;8;2;150
235023;3;1;75
967845;5;1;130
953597;5;2;195
1163805;4;1;75
1205141;2;No info;No info
363726;4;1;85
1069159;3;1;No info
577481;4;2;82
984068;4;1;No info
996804;2;67;No info
963834;2;1;70
967844;5;1;130
1007715;5;No info;No info
210611;4;2;120
372779;14;3;320
950621;5;4;No info
129780;5;2;90
94569;4;1;80
372126;1;1;35
459062;2;1;70
955345;7;1;No info
950984;6;2;140
282047;4;1;85
924843;1;1;50
1175741;2;2;No info
331200;5;2;120
272416;1;1;65
126690;3;1;65
1064372;6;No info;No info
396063;5;1;85
952783;6;130;No info
952782;6;130;No info
994856;11;No info;No info
801022;7;3;No info
971711;5;1;140
138813;6;2;180
139151;6;2;180
760693;2;1;60
935482;3;1;55
400769;11;2;180
141400;1;20;No info
372797;8;2;150
889641;1;1;No info
780783;3;2;70
400352;2;1;60
118243;3;1;85
935454;7;2;142
935668;6;3;No info
404546;1;1;No info
1004059;7;No info;No info
1083008;8;2;No info
226091;7;2;170
768422;3;1;No info
94428;1;1;65
123041;6;2;120
1190968;3;2;80
1085562;7;2;120
952408;5;1;96
935683;5;1;77
135623;8;3;200
931858;4;1;No info
601187;9;3;167
988165;6;2;No info
147188;1;20;No info
154818;1;1;40
210614;4;2;120
154961;6;2;No info
306301;5;3;115
218233;2;1;75
917853;6;2;No info
621006;1;1;No info
201546;1;16;No info
964556;6;1;97
994787;7;2;No info
1004063;7;No info;No info
1012812;7;3;115
962797;5;No info;No info
201528;6;134;No info
573668;3;2;110
779785;4;1;75
622275;2;1;No info
747717;1;1;55
988180;6;2;No info
1199653;2;1;80
123429;3;2;85
242343;3;2;120
1076599;6;4;160
1076597;6;4;160
953319;6;2;No info
473018;2;1;65
955349;7;1;No info
1191220;1;60;No info
746420;2;1;No info
955344;7;1;No info
1082739;3;1;16
393557;2;1;68
981795;4;1;No info
1196236;2;No info;No info
1181574;1;No info;No info
1190972;3;2;80
207743;1;49;No info
620782;2;1;No info
959825;1;60;No info
1187890;4;1;70
601195;5;2;75
326479;7;1;133
359850;5;2;80
916769;2;2;No info
1089867;1;65;No info
961708;3;2;95
372750;19;6;320
1069341;3;2;65
1013106;7;No info;No info
1073619;3;1;No info
935451;7;2;142
931860;4;1;No info
621874;2;1;No info
595209;1;1;43
950623;5;4;No info
592467;3;No info;No info
206773;7;1;125
206776;7;1;125
1163806;4;1;75
1001062;4;2;100
94103;8;3;140
922510;2;1;65
1083077;5;4;120
952451;5;101;No info
1022187;3;1;No info
952735;9;136;No info
933373;1;1;48
573719;20;15;1000
952747;6;130;No info
218407;5;1;90
1004064;7;No info;No info
1004072;7;2;No info
1004071;7;2;No info
754629;4;1;No info
779227;2;1;65
1012816;7;3;115
346843;5;2;115
689044;3;2;70
977839;8;4;160
639706;7;3;125
970038;8;4;No info
970040;8;4;No info
622516;2;1;No info
359852;5;2;80
601319;6;2;75
338509;4;1;100
560237;2;1;66
337356;No info;No info;No info
301377;5;2;105
201669;4;1;72
1003966;7;2;No info
264266;4;2;130
240691;3;1;60
382719;5;2;1
1003021;3;1;60
154504;10;1;200
601332;5;2;75
242039;1;1;No info
523133;8;2;200
800864;2;1;71
623659;2;2;90
1205153;No info;No info;No info
1003020;3;1;60
417433;1;1;50
1085563;7;2;120
338512;4;1;100
229412;7;2;122
1174849;3;1;No info
999586;5;No info;No info
397758;4;2;130
769338;5;5;200
952070;4;2;160
515490;1;1;55
762485;2;1;No info
929892;7;2;No info
948660;2;2;No info
625172;1;60;No info
927095;1;35;No info
1000076;3;2;No info
577508;3;1;72
988176;7;2;No info
810055;2;1;76
363931;6;2;No info
952827;6;130;No info
204965;7;1;No info
963065;2;2;No info
971691;5;1;140
83598;3;1;60
215438;2;1;50
592487;4;No info;No info
925037;10;3;210
459913;5;4;75
151175;7;2;132
210612;4;2;120
233484;4;1;75
994804;7;No info;No info
289670;4;1;84
154960;6;2;No info
210913;4;2;85
337358;No info;No info;No info
1004069;7;2;No info
1003973;7;2;No info
607963;2;1;70
1068549;6;2;200
821344;7;1;No info
592497;3;No info;No info
212076;3;2;175
773797;4;2;96
229407;7;2;122
1083006;8;2;No info
1078570;4;1;70
971689;5;1;140
227612;2;2;95
970372;3;2;78
601304;5;2;75
372773;14;3;320
1179888;1;No info;No info
570422;1;25;No info
668554;2;1;70
523136;8;2;200
1089849;1;1;55
601193;5;2;75
620870;2;1;No info
973197;8;3;No info
620859;3;2;No info
373490;3;1;85
922876;7;3;No info
922877;7;3;No info
151170;7;2;132
769550;3;2;90
1073239;1;25;No info
990055;3;2;74
985550;3;1;60
1168951;1;30;No info
372127;3;1;75
622389;2;1;No info
1069860;6;No info;No info
1169451;1;1;No info
117826;3;1;95
935685;5;1;77
652307;4;2;102
231824;4;1;100
1089799;5;2;No info
1074085;2;1;75
1205310;3;No info;No info
916133;1;60;No info
89869;5;1;110
935496;5;2;96
209764;1;50;No info
120220;10;4;360
942718;6;5;250
1004062;7;No info;No info
372775;14;3;320
225014;2;1;56
125023;2;1;48
219218;4;2;100
400768;11;2;180
639700;7;3;125
276905;2;1;55
653356;4;1;No info
1076241;5;1;No info
668537;1;1;50
1068553;6;2;200
988089;5;2;No info
943946;3;2;No info
218406;5;1;90
346845;5;2;115
769549;3;2;90
997166;4;1;100
1091468;6;1;100
621613;2;1;No info
412493;1;33;No info
272932;3;1;75
334664;3;1;85
1083079;5;4;120
941792;3;1;84
968342;5;2;140
620887;2;1;No info
1086670;5;2;100
1096354;4;1;No info
1096353;4;1;No info
935455;7;2;142
370284;2;1;60
927792;5;2;No info
988106;10;5;No info
313503;4;2;110
153338;10;3;250
952763;8;126;No info
85463;2;1;48
986235;1;1;No info
1076255;5;1;No info
151274;7;2;132
161402;3;1;65
966579;7;3;150
973245;6;No info;No info
441100;3;1;80
990136;5;2;No info
102547;7;2;180
929087;4;1;90
295153;1;1;50
292376;1;15;No info
84707;4;1;75
997376;1;1;No info
84284;3;1;90
974364;1;30;No info
1174951;3;2;95
1182648;1;No info;No info
1003788;4;2;90
952857;6;130;No info
134274;10;3;180
126980;8;2;180
1180123;2;No info;No info
769607;3;2;87
1180181;1;No info;No info
962193;8;No info;No info
947701;10;4;No info
201522;6;5;No info
229718;3;2;105
139411;2;1;52
102687;1;1;35
1017965;3;2;95
952785;6;130;No info
952786;6;130;No info
1073232;4;2;100
228965;2;1;45
972220;5;No info;No info
592504;4;No info;No info
305653;7;1;161
309800;1;1;55
971708;5;1;140
972210;6;2;No info
984069;4;1;No info
1215443;3;1;70
773794;4;2;96
392238;3;1;70
478717;3;1;65
668515;2;1;60
154814;1;25;No info
988095;5;2;No info
128149;8;2;175
128147;8;2;175
596060;2;1;55
375911;3;2;120
209537;1;1;48
996994;2;1;No info
726458;1;1;53
120978;7;2;132
728575;2;1;No info
620714;2;2;No info
912986;1;45;No info
326655;4;5;350
983949;20;3;20
935474;5;1;96
924857;2;1;46
1074899;1;35;No info
973904;1;1;90
133307;8;4;200
139679;3;1;100
1017961;3;2;95
146472;9;2;120
929406;6;2;No info
466848;2;2;110
397755;4;2;130
1007714;5;No info;No info
154840;2;1;51
218316;10;2;200
228962;2;1;45
810090;1;1;65
990302;3;1;48
141140;4;2;75
1085557;7;2;120
151171;7;2;132
931872;6;No info;No info
453094;4;1;40
453095;4;1;40
1003790;4;2;90
768075;2;2;56
154502;10;1;200
466289;5;2;125
915920;7;3;136
1014563;4;2;96
520540;2;1;85
968343;5;2;140
282071;4;2;100
209224;1;1;38
951340;3;1;93
925036;10;3;210
1088835;6;2;100
989599;2;80;No info
962197;8;No info;No info
335659;4;2;100
601331;5;2;75
272418;2;1;No info
362685;4;2;95
1181568;2;No info;No info
935590;6;2;105
773795;4;2;96
268803;3;1;57
372786;10;6;120
997046;3;1;75
1086281;2;1;65
997368;3;1;150
601295;6;2;75
132686;10;3;180
952859;6;130;No info
478719;3;1;65
764097;2;1;66
213410;5;1;105
148769;2;1;48
113344;4;1;90
559805;2;2;80
897011;1;1;No info
296245;2;1;50
994851;11;No info;No info
258996;1;1;48
1200418;5;1;No info
512468;7;2;190
768097;3;2;No info
1182950;3;No info;No info
788852;3;1;67
1016247;3;1;75
977838;8;4;160
512470;7;2;190
362684;4;2;95
982899;2;1;60
94570;4;1;80
986255;2;1;90
1005871;6;No info;No info
466288;5;2;125
973247;5;No info;No info
301375;5;2;105
930858;2;2;118
268550;1;25;No info
126688;4;1;80
728587;3;1;No info
836785;2;1;79
839943;2;1;No info
612443;1;1;45
765596;2;1;44
995503;2;1;No info
201530;6;134;No info
201532;6;134;No info
110568;5;1;100
363727;4;1;85
640973;5;2;101
951347;1;1;47
971676;5;2;140
968339;5;2;140
971679;5;2;140
1196125;1;No info;No info
224788;5;2;140
323605;6;2;100
1068552;6;2;200
1022811;2;1;No info
323666;6;2;115
331198;5;2;120
123118;2;1;70
128148;8;2;175
380301;19;6;320
260363;5;2;100
260367;5;2;100
306119;1;No info;No info
877412;6;2;No info
353862;1;No info;No info
85665;1;1;65
1182731;2;No info;No info
770413;2;1;No info
219219;4;2;100
110561;6;2;140
302602;2;2;70
1080813;3;1;60
289278;1;1;No info
229421;7;2;No info
201527;6;134;No info
280513;4;2;120
621870;3;2;No info
326443;2;2;200
393464;6;2;150
668500;2;1;76
966278;2;1;No info
1074128;3;2;80
619355;2;1;60
918417;4;1;90
1014909;3;1;500
988092;5;2;No info
1013700;6;No info;No info
263518;9;5;282
157091;1;1;47
601284;6;2;75
601181;9;3;167
810180;2;1;80
523139;8;2;200
894012;1;1;50
935591;6;2;105
952413;5;94;No info
239929;1;1;51
953161;6;2;No info
653894;4;1;120
229352;3;1;60
1175662;2;2;No info
220782;2;1;79
1180140;2;No info;No info
931846;8;2;140
258533;10;2;150
207443;10;2;150
935679;5;1;No info
988167;6;2;No info
989609;3;1;69
120221;10;4;360
1073976;2;2;No info
943078;2;2;62
665968;2;2;No info
760129;3;1;150
801021;7;3;No info
1066730;2;2;100
924861;1;1;47
828781;3;1;No info
745082;3;1;No info
725930;3;1;No info
1174854;3;1;80
770496;3;1;67
639701;7;3;125
1180119;2;No info;No info
372800;13;2;280
992180;5;1;No info
323624;6;2;100
1091472;6;1;100
935667;6;3;No info
620834;4;2;No info
1175855;2;1;62
95898;3;2;70
154760;4;2;124
933369;3;2;97
935669;6;3;No info
842929;4;1;No info
842928;4;1;No info
201521;6;5;No info
1012815;7;3;115
821349;7;1;No info
456525;7;4;No info
1083075;5;4;120
1004896;5;2;120
917275;3;1;156
988096;5;2;No info
1196212;2;No info;No info
1196199;4;No info;No info
972592;7;2;No info
952866;10;191;No info
952869;10;191;No info
952868;10;191;No info
949550;2;No info;No info
918415;4;1;90
392239;3;1;70
620806;3;2;No info
372772;14;3;320
323604;6;2;100
1196239;2;No info;No info
1180566;2;No info;No info
85477;4;2;90
141138;4;2;75
306302;5;3;115
1088724;3;2;90
564943;8;2;250
954686;3;1;No info
754631;4;1;No info
620717;2;2;No info
1175788;1;64;No info
323663;6;2;115
1205314;2;No info;No info
95341;9;2;230
983950;20;3;20
1070252;1;25;No info
821345;7;1;No info
367514;1;45;No info
973251;5;No info;No info
647835;1;1;60
668509;2;2;120
277616;1;35;No info
96326;2;1;70
927067;6;2;150
1217521;2;1;65
235017;3;1;68
597245;2;1;No info
577507;3;1;72
1180430;3;No info;No info
988108;10;5;No info
135628;8;3;200
143262;3;1;80
402682;5;2;156
952853;7;116;No info
340425;3;2;98
927698;4;No info;No info
380307;19;6;320
1180424;2;No info;No info
338511;4;1;100
973248;5;No info;No info
480289;7;5;160
329740;5;2;115
952909;6;123;No info
146465;9;2;120
117039;4;1;75
1006336;7;No info;No info
117040;4;1;75
1091380;4;1;90
142647;3;1;48
205055;2;1;60
466304;5;4;110
466300;5;4;110
94108;8;3;140
350889;5;2;90
364263;2;1;40
1088721;2;1;70
1089848;1;40;No info
1001063;4;2;100
129597;1;35;No info
118263;4;2;124
118264;4;2;124
118268;3;1;124
118266;3;1;124
924863;1;1;50
