Reference Number,Bedrooms,Flatmates,Bathrooms,Area
423975,No info,No info,1,35
368175,2,No info,2,60
229675,No info,5,3,100
1015471,4,No info,2,140
289272,2,No info,1,No info
289275,2,No info,2,No info
296117,No info,4,1,102
994292,No info,5,2,No info
1196218,2,No info,No info,No info
305652,No info,7,1,161
622404,2,No info,1,No info
206859,3,No info,1,100
290624,1,No info,No info,No info
372792,No info,8,2,150
1190807,No info,5,No info,No info
935582,No info,6,2,102
638212,2,No info,2,70
101653,1,No info,1,90
973064,No info,6,2,No info
994796,No info,7,No info,No info
601109,No info,4,2,No info
123428,No info,3,2,85
1196260,1,No info,No info,No info
927703,No info,9,No info,No info
1091454,No info,8,3,170
766040,No info,8,3,190
146469,No info,9,2,120
625070,2,No info,1,No info
808514,No info,No info,1,No info
971710,No info,5,1,140
1190803,No info,5,2,142
1186757,3,No info,2,96
972596,No info,7,2,No info
577221,No info,8,3,250
951921,No info,2,1,No info
466845,2,No info,1,70
1013701,No info,6,No info,No info
1196269,2,No info,1,48
579793,No info,4,1,No info
754838,No info,4,2,140
955186,No info,3,2,72
971712,No info,5,1,140
153333,No info,10,3,250
972211,No info,6,2,No info
1076117,No info,No info,1,15
1167713,No info,2,1,75
400855,2,No info,1,45
654192,4,No info,1,75
943942,No info,4,1,140
1004028,No info,5,1,120
572870,2,No info,No info,No info
1070234,No info,12,No info,No info
925034,No info,10,3,210
925038,No info,10,3,210
118240,No info,3,1,85
456629,1,No info,1,45
298288,No info,4,3,90
330402,No info,9,2,200
952860,No info,6,No info,130
458641,No info,4,1,80
1084857,No info,No info,1,No info
768488,No info,6,3,196
1196196,1,No info,No info,No info
210613,No info,4,2,120
219456,No info,5,2,No info
279642,3,No info,1,65
608849,No info,1,1,6
302439,No info,4,1,100
769337,No info,5,5,200
122983,No info,8,2,189
1213896,2,No info,2,130
1006045,No info,No info,1,60
973621,No info,3,1,No info
999588,No info,5,No info,No info
261591,No info,3,1,80
994795,No info,7,No info,No info
146452,No info,7,2,120
773773,No info,1,1,No info
765811,No info,1,1,No info
773772,No info,1,1,No info
1000055,No info,7,2,136
480290,No info,7,5,160
372125,1,No info,1,35
621273,2,No info,2,No info
1190171,No info,4,1,No info
979859,2,No info,1,No info
1218457,No info,5,2,150
971693,No info,5,1,140
436347,No info,4,1,145
972213,No info,6,2,No info
774266,1,No info,No info,No info
983685,3,No info,1,45
601286,No info,6,2,75
1089800,No info,5,2,No info
765614,2,No info,2,82
326477,No info,7,1,133
372748,No info,19,6,320
929084,No info,4,1,90
153332,No info,10,3,250
1212642,3,No info,1,80
569672,1,No info,1,40
95562,2,No info,1,70
202893,No info,5,2,104
947702,No info,10,4,No info
366901,1,No info,No info,65
1196106,1,No info,No info,No info
1004897,No info,5,2,120
1213240,2,No info,2,76
359849,No info,5,2,80
988102,No info,4,No info,No info
218409,No info,5,1,90
992181,No info,5,1,No info
928100,No info,No info,1,60
372753,No info,19,6,320
206254,1,No info,1,35
927186,No info,7,3,190
1096351,No info,4,1,No info
574584,1,No info,1,61
985688,2,No info,1,50
205378,No info,9,3,167
299957,No info,2,1,85
971677,No info,5,2,140
861729,2,No info,1,65
939172,No info,No info,1,60
931740,No info,No info,1,60
1065995,No info,4,4,200
1214912,No info,2,1,75
213408,No info,5,1,105
305518,1,No info,1,45
141686,1,No info,2,70
269039,2,No info,1,60
1085947,2,No info,1,No info
953464,No info,4,1,No info
754168,No info,4,1,98
321835,No info,9,4,150
1067536,No info,No info,1,45
956414,No info,5,1,90
970369,2,No info,1,88
607914,No info,5,2,150
119767,No info,3,1,65
118253,No info,18,5,460
379291,3,No info,2,80
953318,No info,6,2,No info
384721,1,No info,1,58
295381,No info,5,2,No info
1012936,No info,3,1,70
1198570,No info,No info,1,52
931876,No info,6,No info,No info
1205906,No info,3,1,75
929874,No info,9,2,No info
1013105,No info,7,No info,No info
466303,No info,5,4,110
137050,No info,3,1,60
152120,3,No info,1,90
144497,2,No info,No info,50
928102,3,No info,1,60
498436,No info,3,2,110
135622,No info,8,3,200
1091455,No info,8,3,170
754778,No info,3,1,100
94110,No info,8,3,140
345088,No info,5,2,90
1013103,No info,7,No info,No info
827146,No info,5,3,No info
1065548,No info,3,1,50
1089066,No info,2,1,80
952415,No info,5,No info,94
956791,No info,5,1,92
1006331,No info,7,No info,No info
994094,4,No info,2,140
781197,1,No info,2,87
610732,1,No info,1,33
760919,2,No info,1,75
166869,No info,7,2,170
1196256,1,No info,No info,No info
994563,No info,No info,1,No info
952703,1,No info,1,No info
355151,No info,3,1,70
964551,No info,6,1,97
1211138,1,No info,1,40
1015329,3,No info,2,No info
969745,1,No info,1,No info
226080,No info,7,2,170
263226,No info,3,1,65
240693,No info,3,1,60
1083005,No info,8,2,No info
931851,No info,8,2,140
962850,No info,7,No info,No info
513362,No info,9,4,200
992856,1,No info,1,No info
404275,1,No info,1,40
897860,No info,No info,1,34
935453,No info,7,2,142
952516,No info,3,1,90
913031,2,No info,1,No info
1084130,No info,3,2,102
1010473,1,No info,No info,No info
894010,1,No info,1,50
916051,No info,4,2,120
952270,No info,5,1,65
280271,No info,3,No info,No info
781564,No info,2,1,1000
953993,No info,2,1,52
1008533,No info,10,12,1000
1008538,No info,10,12,1000
1008534,No info,10,12,1000
917054,No info,2,2,50
1008537,No info,10,12,1000
477042,1,No info,1,70
1008539,No info,10,12,1000
1008536,No info,10,12,1000
1008540,No info,10,12,1000
1080600,No info,6,2,140
1008532,No info,10,12,1000
1008531,No info,10,12,1000
956112,No info,4,2,120
1181726,1,No info,No info,No info
372752,No info,19,6,320
1207354,No info,3,2,80
1096383,No info,6,2,No info
1096382,No info,6,2,No info
1096381,No info,6,2,No info
1096380,No info,6,2,No info
1051885,No info,5,2,No info
1096384,No info,6,2,No info
1096379,No info,6,2,No info
1182064,1,No info,No info,No info
927058,2,No info,No info,No info
1074733,1,No info,2,110
1013069,No info,6,No info,No info
229408,No info,7,2,122
1013704,No info,6,No info,No info
1069829,No info,10,4,350
891219,No info,2,4,200
271793,No info,2,1,No info
768484,No info,6,3,196
1212223,No info,No info,1,49
1196264,No info,4,No info,No info
1196244,No info,4,No info,No info
296414,No info,5,3,150
964553,No info,6,1,97
1086671,No info,5,2,100
1193700,No info,2,1,90
84706,No info,4,1,75
952448,No info,5,No info,101
254294,No info,2,1,70
635397,1,No info,1,No info
967689,No info,6,3,No info
1196491,1,No info,1,47
223058,1,No info,1,30
513364,No info,9,4,200
373197,No info,6,6,128
345089,No info,5,2,90
89149,No info,3,1,75
1067938,No info,3,2,220
1217753,No info,5,1,4
760902,3,No info,2,95
403036,No info,7,5,No info
295380,No info,5,2,No info
1205460,1,No info,No info,No info
924834,2,No info,2,75
994806,No info,7,No info,No info
939437,No info,No info,1,53
118247,No info,3,1,85
135267,1,No info,1,52
153518,No info,5,1,105
769875,No info,14,4,380
1073235,No info,4,2,100
1203099,2,No info,1,60
1001060,No info,4,2,100
153885,No info,7,2,150
973158,No info,4,2,No info
962133,No info,4,2,100
726155,1,No info,1,66
620787,2,No info,2,No info
1066726,2,No info,1,70
998638,2,No info,1,65
1004067,No info,7,2,No info
935497,No info,5,2,96
929871,No info,9,2,No info
939141,No info,4,2,No info
1003064,No info,No info,No info,No info
806715,2,No info,2,55
123043,No info,6,2,120
962196,No info,8,No info,No info
624011,No info,5,2,80
330401,No info,9,2,200
931875,No info,6,No info,No info
952409,No info,5,1,96
601282,No info,6,2,75
1213615,1,No info,No info,30
768731,3,No info,1,75
226083,No info,7,2,170
372747,No info,19,6,320
149308,1,No info,1,50
640990,No info,4,1,100
311778,No info,5,2,120
415004,No info,3,1,60
1221909,No info,No info,1,52
301378,No info,5,2,105
1065549,No info,3,1,50
1196208,1,No info,No info,No info
416117,3,No info,1,No info
955188,No info,3,2,72
1074897,No info,3,2,100
392362,No info,5,3,No info
956110,No info,4,2,120
1076123,No info,No info,1,15
952431,No info,2,No info,67
952430,No info,2,No info,67
1087414,No info,3,2,No info
1004060,No info,7,No info,No info
1020051,No info,13,5,350
1065994,No info,4,4,200
118239,No info,3,1,85
972594,No info,7,2,No info
994858,No info,11,No info,No info
1180018,1,No info,No info,No info
961552,1,No info,1,No info
952867,No info,10,No info,191
625170,1,No info,No info,40
1088849,No info,7,2,150
404388,No info,No info,1,No info
1000056,No info,7,2,136
1190808,No info,5,No info,No info
923087,4,No info,1,120
366795,3,No info,2,110
971690,No info,5,1,140
264265,No info,4,2,130
1183218,2,No info,1,45
314242,No info,5,2,120
952822,No info,6,No info,130
952914,No info,8,No info,127
1004687,No info,3,1,110
592494,No info,3,No info,No info
128952,2,No info,1,60
141607,2,No info,1,50
972598,No info,7,2,No info
372785,No info,10,6,120
1085559,No info,7,2,120
961145,No info,No info,1,35
130600,No info,6,2,170
952414,No info,5,No info,94
620694,2,No info,1,No info
994857,No info,11,No info,No info
979914,1,No info,1,67
1003019,No info,3,1,60
1166697,No info,4,1,89
120984,No info,7,2,132
302698,No info,7,4,195
1187889,No info,4,1,70
925031,No info,10,3,210
153489,2,No info,2,200
1076256,No info,5,1,No info
877418,No info,7,1,No info
153519,No info,5,1,105
1196215,2,No info,No info,No info
952800,No info,8,No info,133
952736,No info,9,No info,136
952799,No info,8,No info,133
922513,2,No info,2,105
952841,No info,8,No info,133
952840,No info,8,No info,133
350887,No info,5,2,90
1084129,No info,3,2,102
801025,No info,7,3,No info
1080815,No info,3,1,60
651713,No info,No info,1,No info
935499,No info,5,2,96
929410,No info,4,2,No info
969037,No info,5,2,No info
386598,No info,4,2,100
350888,No info,5,2,90
942091,No info,3,1,No info
1017874,2,No info,1,80
157088,2,No info,1,No info
332578,No info,2,2,100
118632,No info,18,5,460
133310,No info,8,4,200
1090917,No info,5,2,No info
242034,No info,No info,1,No info
340363,No info,5,2,160
1078571,No info,4,1,70
1205498,1,No info,1,45
953190,No info,No info,1,60
952850,No info,7,No info,116
952849,No info,7,No info,116
218314,No info,10,2,200
116058,2,No info,1,43
289897,2,No info,No info,No info
154964,No info,6,2,No info
576867,No info,3,2,71
461975,1,No info,1,55
1196221,2,No info,No info,No info
937277,No info,No info,2,50
988751,No info,No info,1,50
932399,2,No info,1,No info
579945,No info,2,2,No info
640436,1,No info,1,80
222020,No info,5,2,80
939003,2,No info,1,62
888238,No info,No info,1,60
153336,No info,10,3,250
326475,No info,7,1,133
1190965,2,No info,2,100
747927,No info,2,No info,No info
621276,2,No info,1,No info
970044,No info,8,4,No info
888176,No info,No info,1,50
305517,No info,No info,1,No info
1218364,3,No info,2,90
994784,No info,7,2,No info
1003974,No info,7,2,No info
1004070,No info,7,2,No info
954772,No info,6,2,115
954687,No info,3,1,No info
128151,No info,8,2,175
592473,No info,4,No info,No info
980646,2,No info,2,84
773521,No info,2,1,67
303669,No info,3,2,85
458640,No info,4,1,80
341529,No info,3,2,100
118250,No info,18,5,460
84900,No info,5,2,140
952226,3,No info,2,80
922282,No info,4,1,102
272678,No info,2,1,No info
153331,No info,10,3,250
1085951,2,No info,1,76
153882,No info,7,2,150
153888,No info,7,2,150
117038,No info,4,1,75
601315,No info,6,2,75
1082030,No info,3,3,75
296416,No info,5,3,150
988183,No info,6,2,No info
1088143,No info,2,2,85
988184,No info,6,2,No info
272303,3,No info,2,90
990139,No info,5,2,No info
724421,2,No info,1,60
1190172,No info,4,1,No info
640991,No info,4,1,100
132684,No info,10,3,180
133576,No info,10,3,180
970041,No info,8,4,No info
996800,3,No info,2,85
769876,No info,14,4,380
218315,No info,10,2,200
1163807,No info,4,1,75
982684,No info,No info,1,45
125647,1,No info,1,60
972215,No info,6,2,No info
355356,No info,4,2,110
133127,2,No info,1,50
733239,2,No info,1,60
106726,No info,No info,1,35
622043,2,No info,2,No info
929037,2,No info,2,100
122986,No info,8,2,189
768485,No info,6,3,196
154357,3,No info,2,134
1091459,No info,8,3,170
651147,3,No info,2,125
888173,2,No info,1,55
127990,No info,6,4,160
667910,3,No info,2,100
595968,No info,No info,1,55
1196246,No info,4,No info,No info
576866,No info,3,2,71
952855,No info,7,No info,116
206931,2,No info,1,60
372793,No info,8,2,150
927699,No info,4,No info,No info
988775,2,No info,1,90
1083918,3,No info,1,80
1186223,No info,No info,1,45
1216498,No info,No info,1,60
1216492,No info,No info,1,60
1000075,No info,3,2,No info
359018,No info,No info,2,55
1067898,No info,No info,1,38
415652,No info,4,1,85
592479,No info,3,No info,No info
1174846,2,No info,2,No info
265675,No info,2,1,50
996653,2,No info,1,No info
1006330,No info,7,No info,No info
126978,No info,8,2,180
1016321,No info,2,2,144
597477,1,No info,1,50
861717,2,No info,1,80
953314,No info,6,2,No info
1196245,No info,4,No info,No info
90785,No info,5,1,100
1091461,No info,8,3,170
268632,1,No info,1,55
110652,No info,6,2,140
126691,No info,3,1,65
409726,No info,No info,1,40
1051891,No info,5,2,No info
1051890,No info,5,2,No info
1051889,No info,5,2,No info
1051893,No info,5,2,No info
295928,No info,5,3,150
1096352,No info,4,1,No info
954306,No info,1,1,75
478726,No info,3,1,75
281599,1,No info,1,70
981793,No info,4,1,No info
224786,No info,5,2,140
1196262,No info,4,No info,No info
787227,2,No info,1,75
438966,No info,3,1,70
1081198,2,No info,1,57
151172,No info,7,2,132
592492,No info,3,No info,No info
931743,3,No info,2,140
1089839,2,No info,2,70
1021635,No info,4,2,100
926700,3,No info,1,150
606792,No info,3,No info,No info
210914,No info,4,2,85
952908,No info,6,No info,123
1077567,No info,4,2,120
1003585,3,No info,2,325
1003592,3,No info,2,162
952749,No info,6,No info,130
977068,No info,4,1,120
962801,2,No info,1,No info
962803,2,No info,1,No info
212839,No info,6,2,165
141691,3,No info,2,70
141689,3,No info,2,70
141418,3,No info,2,70
976975,3,No info,2,100
141695,3,No info,2,70
144681,No info,4,2,100
938578,2,No info,2,150
94729,1,No info,1,47
918254,2,No info,1,105
604156,No info,3,2,75
973068,No info,6,2,No info
801027,No info,7,3,No info
641705,1,No info,1,60
1017944,3,No info,1,No info
102544,No info,7,2,180
604155,No info,3,2,75
929869,No info,9,2,No info
1182697,1,No info,No info,No info
375489,No info,No info,1,28
577225,No info,8,3,250
1181997,2,No info,No info,No info
559800,2,No info,2,75
1196263,No info,4,No info,No info
392361,No info,5,3,No info
977407,No info,5,2,No info
811790,3,No info,3,350
267742,No info,6,No info,160
213406,No info,5,1,105
206252,1,No info,1,35
952737,No info,9,No info,136
952741,No info,9,No info,136
361581,1,No info,1,40
927379,4,No info,2,120
1088518,2,No info,1,60
1182000,2,No info,No info,No info
150315,No info,2,1,55
458911,1,No info,1,70
348917,No info,5,2,No info
348918,No info,5,2,No info
621016,1,No info,1,No info
925030,No info,10,3,210
821346,No info,7,1,No info
982378,1,No info,No info,No info
952861,No info,6,No info,130
935094,2,No info,1,40
1066124,3,No info,No info,No info
293967,No info,3,1,60
601292,No info,6,2,75
447970,No info,2,1,45
1181746,2,No info,No info,No info
774277,2,No info,1,No info
917851,No info,6,2,No info
956468,No info,4,1,No info
932579,No info,8,4,270
400765,No info,11,2,180
323626,No info,6,2,100
601320,No info,6,2,75
372178,No info,5,2,80
1181964,2,No info,No info,No info
1022262,5,No info,4,500
1022468,4,No info,2,500
432188,2,No info,1,70
102546,No info,7,2,180
592475,No info,3,No info,No info
958147,3,No info,2,90
386599,No info,4,2,100
121065,2,No info,1,80
125265,No info,4,1,90
917037,3,No info,1,70
142644,4,No info,1,100
201991,2,No info,1,60
1010373,No info,5,2,114
1021920,No info,3,No info,No info
975904,No info,2,2,72
513370,No info,9,4,200
915919,No info,7,3,136
1088973,No info,No info,1,30
127193,4,No info,1,80
85509,2,No info,1,45
1181971,2,No info,No info,No info
1072107,No info,2,1,70
952739,No info,9,No info,136
952740,No info,9,No info,136
146450,No info,7,2,120
1218471,No info,No info,1,47
148554,1,No info,1,48
744307,1,No info,1,30
279260,No info,3,1,75
89757,No info,5,2,140
952272,No info,5,1,65
1017862,3,No info,2,85
1087684,2,No info,2,93
1083932,3,No info,2,140
302292,No info,No info,1,No info
372809,No info,13,2,280
805187,No info,3,1,65
982256,1,No info,No info,No info
1181511,No info,3,No info,No info
90040,No info,6,2,170
906057,No info,3,1,No info
1004029,No info,5,1,120
258987,2,No info,1,No info
754630,No info,4,1,No info
1169107,2,No info,1,70
1089742,No info,6,2,120
983951,No info,20,3,20
1050444,3,No info,2,140
372807,No info,13,2,280
236046,No info,5,5,85
1205905,No info,3,1,75
621964,1,No info,1,No info
1169895,No info,2,1,No info
957929,4,No info,3,250
1088071,No info,No info,1,40
520537,2,No info,1,70
306124,No info,No info,1,25
592518,No info,3,No info,No info
666304,3,No info,No info,No info
1182924,1,No info,No info,No info
94571,No info,4,1,80
323627,No info,6,2,100
1091378,No info,4,1,90
1181960,3,No info,No info,No info
404380,2,No info,2,No info
952870,No info,10,No info,191
951920,No info,2,1,No info
980704,3,No info,2,100
592493,No info,3,No info,No info
297488,2,No info,2,80
441101,No info,3,1,80
1070224,No info,No info,1,40
1091197,3,No info,2,90
102689,1,No info,1,35
1091572,1,No info,1,50
89758,No info,5,2,140
941796,3,No info,2,72
95337,No info,9,2,230
128153,No info,8,2,175
1190810,No info,5,No info,No info
133684,2,No info,1,55
1003596,9,No info,6,812
656810,No info,4,1,84
941805,3,No info,2,104
1172425,No info,3,2,62
937229,No info,4,1,86
592526,No info,3,No info,No info
1196233,2,No info,No info,No info
628213,2,No info,1,No info
275857,No info,3,1,85
930728,No info,No info,1,35
971675,No info,5,2,140
651714,No info,No info,1,No info
136576,No info,5,4,195
1064371,No info,6,No info,No info
988088,No info,5,2,No info
592527,No info,3,No info,No info
705962,1,No info,1,55
85474,No info,4,2,90
986284,4,No info,1,75
620703,1,No info,1,No info
967954,5,No info,1,65
147091,No info,3,1,75
641682,1,No info,1,50
304504,1,No info,1,40
1180422,1,No info,No info,No info
270611,No info,6,7,190
270610,No info,6,7,190
1073973,2,No info,2,No info
872608,No info,6,2,190
639144,No info,6,2,No info
123427,No info,3,2,85
1199368,1,No info,1,No info
267744,No info,6,No info,160
952425,No info,5,No info,94
84219,No info,4,2,110
206256,1,No info,1,35
112859,No info,4,2,100
237153,No info,3,2,110
140431,No info,10,3,180
146455,No info,7,2,120
1167526,No info,No info,No info,No info
478815,No info,2,1,45
994791,No info,7,No info,No info
336687,No info,4,1,70
255903,No info,3,1,No info
1089829,3,No info,2,115
426454,No info,5,2,180
620720,2,No info,2,No info
936743,No info,5,No info,No info
117041,No info,4,1,75
219455,No info,5,2,No info
1190173,No info,4,1,No info
262627,3,No info,2,110
966442,4,No info,3,200
953316,No info,6,2,No info
608692,No info,3,1,150
961494,No info,5,3,No info
932574,No info,8,4,270
1180416,1,No info,No info,No info
466287,No info,5,2,125
916483,No info,6,2,169
935665,No info,6,3,No info
153334,No info,10,3,250
1183093,1,No info,No info,No info
1203199,3,No info,2,No info
764837,2,No info,2,120
972207,No info,3,1,No info
769604,2,No info,2,70
89756,No info,5,2,140
956418,No info,5,1,90
1022795,No info,4,1,No info
306305,No info,5,3,115
228917,No info,3,2,170
988178,No info,7,2,No info
927714,No info,5,No info,No info
988103,No info,4,No info,No info
953315,No info,6,2,No info
354862,No info,No info,1,50
1172539,No info,6,4,127
364192,No info,3,1,60
623251,No info,No info,1,25
229417,No info,7,2,No info
928766,No info,5,3,107
810096,1,No info,1,60
86645,4,No info,1,85
138816,No info,6,2,180
137343,No info,6,1,210
810246,2,No info,1,80
611234,No info,4,1,No info
601283,No info,6,2,75
962853,No info,7,No info,No info
956729,No info,4,1,No info
396061,No info,5,1,85
229409,No info,7,2,122
272931,No info,3,1,75
953095,2,No info,1,80
281272,No info,3,1,70
952738,No info,9,No info,136
1088832,No info,6,2,100
442900,No info,4,2,100
270612,No info,6,7,190
942589,No info,5,No info,No info
1083929,2,No info,2,100
668606,1,No info,1,65
400761,No info,11,2,180
102545,No info,7,2,180
594777,1,No info,1,50
892574,3,No info,1,90
580202,No info,1,1,No info
592528,No info,3,No info,No info
956728,No info,4,1,No info
956731,No info,4,1,No info
144683,No info,4,2,100
1196089,1,No info,No info,No info
153330,No info,10,3,250
133312,No info,8,4,200
912990,3,No info,1,75
564949,No info,8,2,250
1064364,No info,4,No info,No info
971678,No info,5,2,140
972221,No info,5,No info,No info
972217,No info,5,No info,No info
931848,No info,8,2,140
268495,1,No info,1,35
255230,1,No info,1,70
351618,No info,4,1,75
166586,No info,5,2,130
973250,No info,5,No info,No info
265479,1,No info,1,50
961096,2,No info,1,No info
961099,2,No info,1,No info
928769,No info,5,3,107
323608,No info,6,2,100
326476,No info,7,1,133
947706,No info,10,4,No info
806768,1,No info,1,40
592517,No info,3,No info,No info
998524,1,No info,1,60
994855,No info,11,No info,No info
810146,2,No info,1,70
90441,No info,8,2,244
952846,No info,8,No info,133
120980,No info,7,2,132
94106,No info,8,3,140
1082553,No info,No info,1,15
962848,No info,7,No info,No info
201526,No info,6,5,No info
777441,No info,4,No info,80
938876,3,No info,1,90
94105,No info,8,3,140
237154,No info,3,2,110
237288,2,No info,1,42
941800,3,No info,2,87
1169100,3,No info,3,No info
139150,No info,6,2,180
952801,No info,8,No info,133
110496,No info,4,1,100
364917,No info,6,1,No info
915922,No info,7,3,136
135625,No info,8,3,200
123608,2,No info,1,70
281509,3,No info,2,No info
1003317,No info,3,2,90
935470,No info,5,1,96
935495,No info,5,2,96
935193,No info,4,2,117
939980,No info,4,No info,No info
1009826,No info,3,No info,No info
253254,No info,No info,1,43
580448,No info,2,1,No info
154500,No info,10,1,200
929900,No info,6,2,No info
102413,2,No info,1,55
620641,1,No info,1,No info
924837,2,No info,2,110
389484,1,No info,2,82
947709,No info,10,4,No info
261590,No info,3,1,80
153335,No info,10,3,250
1085561,No info,7,2,120
935675,No info,5,1,No info
326499,No info,4,1,150
337359,No info,No info,No info,No info
987903,2,No info,1,54
601317,No info,6,2,75
129781,No info,5,2,90
652414,1,No info,1,58
129987,No info,4,1,77
951344,2,No info,1,97
1015334,No info,2,1,No info
124800,2,No info,1,60
622164,1,No info,1,No info
952271,No info,5,1,65
1211114,1,No info,1,35
1000054,No info,7,2,136
964474,No info,5,1,70
935579,No info,6,2,102
962927,1,No info,1,No info
640618,2,No info,1,50
894004,1,No info,1,50
330404,No info,9,2,200
767443,No info,5,1,200
1181282,2,No info,No info,No info
359851,No info,5,2,80
1014870,No info,8,3,280
810222,2,No info,2,75
621324,1,No info,1,No info
994861,No info,11,No info,No info
205376,No info,9,3,167
139575,No info,4,1,80
151039,No info,No info,1,50
592523,No info,4,No info,No info
942591,No info,5,No info,No info
986482,No info,3,1,No info
127675,No info,7,2,180
470735,2,No info,1,90
768726,No info,6,1,No info
949104,2,No info,1,70
964472,No info,5,1,70
215396,3,No info,1,74
1021794,5,No info,3,350
1022693,No info,No info,1,60
956824,No info,4,1,87
760127,No info,3,1,150
433716,3,No info,2,56
651715,No info,No info,1,No info
966577,No info,7,3,150
580870,No info,2,1,No info
607911,No info,5,2,150
372805,No info,13,2,280
577219,No info,8,3,250
154564,No info,No info,1,25
237004,No info,3,1,75
939981,No info,4,No info,No info
1199279,No info,8,No info,No info
151030,No info,No info,1,50
985549,No info,3,1,60
988090,No info,5,2,No info
204963,No info,7,1,No info
1083076,No info,5,4,120
988100,No info,4,No info,No info
148772,1,No info,1,48
338510,No info,4,1,100
624305,3,No info,No info,90
560238,No info,2,1,66
913767,3,No info,1,78
977833,No info,8,4,160
226612,No info,2,1,45
1190062,No info,5,1,No info
460052,No info,3,1,100
1189262,3,No info,3,No info
302699,No info,7,4,195
139995,No info,No info,1,30
596797,No info,3,1,No info
364225,No info,3,1,60
939142,No info,4,2,No info
1089851,2,No info,1,70
1069863,No info,6,No info,No info
289707,No info,7,2,160
222016,No info,5,2,80
1072335,3,No info,2,No info
937567,No info,3,2,20
84899,No info,5,2,140
229441,No info,6,2,107
276745,3,No info,1,60
112848,3,No info,1,70
915644,3,No info,1,70
120217,No info,10,4,360
398738,No info,3,1,65
331608,No info,4,1,105
1076263,No info,3,1,No info
155488,No info,7,2,150
956467,No info,4,1,No info
956415,No info,5,1,90
945107,No info,3,No info,No info
945109,No info,3,No info,No info
346464,No info,4,2,105
374283,No info,10,6,120
955350,No info,7,1,No info
1189869,No info,5,2,90
89151,No info,3,1,75
274825,No info,2,1,85
115852,No info,No info,1,20
1190194,No info,No info,1,55
86483,No info,4,2,110
312101,No info,No info,1,No info
1007788,No info,2,1,No info
621233,3,No info,2,No info
201524,No info,6,5,No info
138815,No info,6,2,180
927188,No info,7,3,190
994782,No info,7,2,No info
988182,No info,6,2,No info
982089,No info,4,2,120
788851,No info,3,1,67
895500,No info,2,1,70
89754,No info,5,2,140
727340,2,No info,1,72
84222,No info,4,2,110
323667,No info,6,2,115
323665,No info,6,2,115
323668,No info,6,2,115
982885,2,No info,1,No info
577224,No info,8,3,250
1064376,No info,4,1,No info
1219800,No info,6,2,140
942593,No info,5,No info,No info
1002309,3,No info,2,No info
967800,No info,4,1,70
936742,No info,5,No info,No info
128150,No info,8,2,175
744238,No info,5,4,No info
1078572,No info,4,1,70
929085,No info,4,1,90
211479,No info,3,1,70
129779,No info,5,2,90
229419,No info,7,2,No info
930593,No info,4,2,90
973696,No info,4,1,No info
1013057,No info,8,No info,No info
622246,1,No info,1,No info
1187891,1,No info,1,55
609005,1,No info,1,50
233813,2,No info,1,45
206772,No info,7,1,125
991353,No info,No info,1,40
282046,No info,4,1,85
115009,No info,5,2,120
942243,No info,2,1,No info
204962,No info,7,1,No info
964475,No info,5,1,70
154816,No info,No info,1,25
129778,No info,5,2,90
1186975,No info,No info,1,30
115007,No info,5,2,120
115008,No info,5,2,120
607912,No info,5,2,150
601186,No info,9,3,167
1196078,No info,2,2,100
621702,1,No info,1,No info
126687,No info,4,1,80
1085560,No info,7,2,120
935588,No info,6,2,105
281273,No info,3,1,70
973587,No info,4,2,100
687891,1,No info,1,75
1180122,No info,No info,No info,No info
932954,No info,5,2,100
956825,No info,4,1,87
1021949,No info,4,2,80
592498,No info,3,No info,No info
1012785,2,No info,1,65
962798,No info,5,No info,No info
1219796,No info,6,2,140
90237,No info,11,2,200
289669,No info,4,1,84
990137,No info,5,2,No info
122901,2,No info,1,80
580290,No info,2,1,No info
1083003,No info,8,2,No info
334047,No info,5,1,85
268329,2,No info,1,No info
952858,No info,6,No info,130
952851,No info,7,No info,116
952854,No info,7,No info,116
972595,No info,7,2,No info
301374,No info,5,2,105
707607,4,No info,No info,No info
1185298,3,No info,3,No info
846159,No info,4,2,120
988177,No info,7,2,No info
1169018,No info,No info,1,30
1182699,3,No info,No info,No info
606363,No info,No info,1,40
928091,No info,3,1,65
380304,No info,19,6,320
779784,No info,4,1,75
951041,1,No info,1,No info
90443,No info,8,2,244
110494,No info,4,1,100
453616,2,No info,1,55
90039,No info,6,2,170
1076261,No info,3,1,No info
988185,No info,6,2,No info
1181547,2,No info,No info,No info
964554,No info,6,1,97
474904,2,No info,No info,60
1180158,2,No info,No info,No info
313504,No info,4,2,110
994803,No info,7,No info,No info
1091458,No info,8,3,170
1182725,2,No info,No info,No info
147262,No info,3,1,60
323607,No info,6,2,100
977406,No info,5,2,No info
154757,No info,4,2,124
326653,No info,4,5,350
264595,No info,4,2,100
622384,1,No info,1,No info
957168,2,No info,2,96
1014872,No info,8,3,280
962195,No info,8,No info,No info
988107,No info,10,5,No info
964476,No info,5,1,70
754166,No info,4,1,98
1017597,No info,1,1,70
523140,No info,8,2,200
1180325,3,No info,No info,No info
1182984,2,No info,No info,No info
1022270,No info,3,1,80
952433,No info,3,1,75
1198189,No info,4,2,84
1069160,No info,3,1,No info
607910,No info,5,2,150
380299,No info,19,6,320
476641,No info,3,1,70
994807,No info,7,No info,No info
1196230,2,No info,No info,No info
1205363,2,No info,No info,No info
1199392,No info,4,3,150
1183002,2,No info,No info,No info
